iter	Passed	Remaining
169	22487	109794
170	22600	109564
171	22737	109456
172	22874	109348
173	23014	109253
174	23156	109167
175	23292	109052
176	23433	108958
177	23555	108780
178	23696	108687
179	23840	108605
180	23989	108550
181	24138	108489
182	24273	108367
183	24409	108248
184	24532	108077
185	24683	108022
186	24806	107847
187	24938	107711
188	25080	107620
189	25220	107520
190	25341	107337
191	25474	107207
192	25614	107103
193	25742	106948
194	25864	106772
195	26014	106711
196	26152	106599
197	26271	106411
198	26409	106302
199	26544	106178
200	26686	106082
201	26823	105968
202	26967	105878
203	27098	105736
204	27224	105578
205	27361	105460
206	27494	105328
207	27628	105202
208	27768	105093
209	27907	104985
210	28047	104879
211	28175	104729
212	28321	104644
213	28456	104518
214	28587	104377
215	28723	104257
216	28855	104118
217	28985	103974
218	29119	103846
219	29255	103722
220	29402	103640
221	29518	103448
222	29672	103386
223	29818	103299
224	29962	103202
225	30089	103050
226	30224	102923
227	30359	102796
228	30461	102558
229	30586	102397
230	30712	102240
231	30852	102131
232	30985	102000
233	31116	101859
234	31266	101782
235	31404	101664
236	31557	101595
237	31702	101500
238	31836	101370
239	31975	101255
240	32127	101181
241	32272	101084
242	32411	100969
243	32526	100779
244	32667	100668
245	32810	100564
246	32937	100412
247	33077	100298
248	33202	100141
249	33340	100021
250	33482	99912
251	33613	99772
252	33751	99653
253	33819	99327
254	33963	99227
255	34081	99047
256	34215	98919
257	34361	98822
258	34489	98674
259	34630	98565
260	34770	98449
261	34887	98270
262	35038	98187
263	35164	98035
264	35300	97909
265	35426	97754
266	35562	97629
267	35697	97501
268	35836	97385
269	35972	97259
270	36094	97094
271	36211	96920
272	36344	96785
273	36486	96674
274	36596	96481
275	36736	96365
276	36847	96176
277	36990	96069
278	37124	95939
279	37259	95809
280	37385	95658
281	37497	95472
282	37638	95359
283	37779	95247
284	37877	95025
285	38024	94928
286	38141	94755
287	38278	94633
288	38420	94523
289	38559	94405
290	38680	94242
291	38816	94117
292	38957	94004
293	39083	93854
294	39202	93687
295	39350	93590
296	39489	93471
297	39618	93328
298	39760	93217
299	39882	93059
300	40035	92972
301	40178	92863
302	40328	92768
303	40460	92632
304	40588	92487
305	40717	92345
306	40860	92235
307	40985	92083
308	41138	91996
309	41294	91914
310	41446	91822
311	41588	91707
312	41736	91606
313	41887	91512
314	42043	91428
315	42174	91289
316	42306	91152
317	42469	91082
318	42598	90940
319	42743	90829
320	42889	90722
321	42999	90538
322	43148	90438
323	43278	90297
324	43415	90169
325	43567	90074
326	43713	89966
327	43844	89827
328	44000	89739
329	44129	89596
330	44271	89479
331	44399	89334
332	44520	89174
333	44654	89041
334	44796	88924
335	44942	88815
336	45074	88678
337	45230	88588
338	45356	88437
339	45486	88297
340	45622	88167
341	45776	88072
342	45888	87896
343	46034	87786
344	46178	87673
345	46309	87532
346	46460	87431
347	46585	87281
348	46710	87130
349	46854	87015
350	46981	86869
351	47124	86752
352	47255	86612
353	47383	86467
354	47520	86340
355	47657	86211
356	47802	86097
357	47924	85943
358	48046	85787
359	48159	85616
360	48299	85493
361	48439	85371
362	48572	85236
363	48701	85094
364	48849	84985
365	48977	84841
366	49119	84721
367	49241	84566
368	49378	84438
369	49510	84300
370	49638	84157
371	49783	84043
372	49912	83901
373	50041	83759
374	50178	83630
375	50311	83495
376	50451	83372
377	50570	83213
378	50725	83115
379	50861	82983
380	50987	82838
381	51140	82734
382	51257	82573
383	51391	82439
384	51532	82318
385	51674	82197
386	51816	82075
387	51951	81943
388	52066	81781
389	52198	81644
390	52336	81516
391	52482	81401
392	52623	81278
393	52740	81117
394	52855	80956
395	52979	80806
396	53112	80671
397	53237	80525
398	53376	80399
399	53506	80259
400	53645	80133
401	53764	79977
402	53916	79871
403	54037	79719
404	54170	79584
405	54317	79468
406	54456	79342
407	54584	79200
408	54702	79044
409	54824	78894
410	54949	78747
411	55101	78640
412	55232	78501
413	55372	78378
414	55502	78238
415	55632	78098
416	55765	77964
417	55901	77834
418	56029	77692
419	56169	77567
420	56303	77433
421	56449	77317
422	56564	77157
423	56692	77015
424	56841	76902
425	56986	76785
426	57129	76663
427	57240	76499
428	57388	76383
429	57495	76214
430	57613	76060
431	57757	75940
432	57871	75781
433	58021	75669
434	58153	75532
435	58288	75400
436	58404	75244
437	58552	75128
438	58680	74988
439	58826	74869
440	58970	74749
441	59086	74593
442	59210	74447
443	59338	74306
444	59465	74164
445	59584	74013
446	59723	73885
447	59854	73748
448	59997	73627
449	60135	73499
450	60278	73376
451	60388	73214
452	60513	73069
453	60636	72924
454	60784	72807
455	60904	72657
456	61041	72528
457	61172	72392
458	61317	72271
459	61464	72154
460	61594	72015
461	61711	71863
462	61820	71701
463	61967	71583
464	62113	71464
465	62251	71335
466	62380	71196
467	62529	71080
468	62678	70964
469	62805	70823
470	62931	70681
471	63053	70534
472	63183	70397
473	63322	70269
474	63447	70125
475	63598	70012
476	63731	69877
477	63870	69750
478	64009	69621
479	64116	69459
480	64243	69318
481	64386	69195
482	64527	69069
483	64670	68946
484	64811	68820
485	64957	68700
486	65100	68575
487	65209	68416
488	65325	68264
489	65460	68131
490	65605	68010
491	65725	67862
492	65861	67732
493	65998	67601
494	66136	67472
495	66259	67328
496	66400	67202
497	66524	67058
498	66653	66920
499	66779	66779
500	66917	66650
501	67035	66501
502	67172	66370
503	67216	66149
504	67366	66032
505	67489	65888
506	67625	65758
507	67761	65627
508	67894	65493
509	68013	65346
510	68150	65216
511	68267	65067
512	68407	64940
513	68538	64804
514	68671	64671
515	68799	64533
516	68917	64385
517	69051	64252
518	69175	64110
519	69302	63971
520	69437	63839
521	69586	63721
522	69726	63594
523	69844	63446
524	69973	63309
525	70100	63170
526	70236	63039
527	70353	62891
528	70496	62767
529	70620	62625
530	70733	62474
531	70862	62338
532	70979	62189
533	71112	62057
534	71263	61939
535	71395	61805
536	71536	61678
537	71683	61557
538	71831	61436
539	71959	61298
540	72085	61159
541	72200	61010
542	72321	60867
543	72452	60732
544	72582	60596
545	72696	60447
546	72795	60285
547	72931	60155
548	73078	60033
549	73194	59886
550	73318	59745
551	73466	59624
552	73595	59488
553	73751	59373
554	73903	59256
555	74036	59122
556	74161	58982
557	74293	58849
558	74426	58715
559	74543	58569
560	74686	58444
561	74823	58314
562	74976	58196
563	75124	58074
564	75252	57938
565	75392	57809
566	75522	57674
567	75651	57538
568	75759	57385
569	75901	57258
570	76042	57131
571	76177	56999
572	76325	56877
573	76453	56740
574	76583	56605
575	76701	56460
576	76838	56330
577	76959	56188
578	77099	56060
579	77228	55923
580	77351	55783
581	77477	55645
582	77609	55511
583	77728	55368
584	77846	55224
585	77993	55101
586	78129	54970
587	78245	54824
588	78378	54691
589	78505	54554
590	78651	54430
591	78796	54305
592	78944	54182
593	79078	54050
594	79215	53919
595	79352	53789
596	79503	53668
597	79653	53546
598	79796	53419
599	79920	53280
600	80044	53141
601	80179	53008
602	80318	52879
603	80433	52734
604	80567	52601
605	80710	52475
606	80860	52353
607	80991	52218
608	81137	52093
609	81284	51968
610	81416	51834
611	81566	51712
612	81707	51583
613	81855	51459
614	81972	51315
615	82112	51187
616	82245	51053
617	82380	50921
618	82508	50785
619	82632	50645
620	82767	50513
621	82913	50388
622	83042	50252
623	83183	50123
624	83308	49985
625	83446	49854
626	83588	49726
627	83708	49585
628	83831	49446
629	83974	49318
630	84119	49192
631	84248	49056
632	84384	48924
633	84528	48797
634	84665	48666
635	84804	48535
636	84947	48407
637	85063	48264
638	85204	48135
639	85333	48000
640	85478	47873
641	85597	47731
642	85737	47602
643	85873	47470
644	86020	47344
645	86157	47213
646	86291	47080
647	86403	46935
648	86556	46812
649	86704	46686
650	86846	46558
651	86987	46428
652	87117	46293
653	87265	46167
654	87416	46043
655	87544	45907
656	87642	45755
657	87780	45624
658	87924	45496
659	88048	45358
660	88169	45218
661	88302	45085
662	88455	44961
663	88608	44837
664	88747	44707
665	88877	44572
666	89003	44435
667	89146	44306
668	89280	44173
669	89415	44040
670	89550	43907
671	89691	43777
672	89817	43641
673	89953	43508
674	90075	43369
675	90218	43240
676	90337	43100
677	90475	42969
678	90591	42827
679	90707	42685
680	90852	42558
681	90973	42418
682	91107	42285
683	91242	42153
684	91385	42023
685	91528	41895
686	91676	41768
687	91822	41640
688	91960	41509
689	92063	41362
690	92192	41226
691	92332	41095
692	92478	40967
693	92579	40820
694	92699	40681
695	92814	40539
696	92941	40403
697	93074	40270
698	93209	40137
699	93332	39999
700	93472	39869
701	93618	39741
702	93763	39612
703	93922	39489
704	94053	39355
705	94195	39225
706	94335	39094
707	94473	38963
708	94615	38833
709	94756	38703
710	94889	38569
711	95031	38439
712	95173	38309
713	95301	38173
714	95440	38042
715	95570	37907
716	95719	37780
717	95858	37649
718	96007	37521
719	96141	37388
720	96265	37251
721	96388	37113
722	96529	36982
723	96664	36850
724	96791	36713
725	96942	36587
726	97078	36454
727	97225	36325
728	97357	36192
729	97500	36061
730	97635	35928
731	97749	35788
732	97890	35657
733	98025	35524
734	98166	35393
735	98285	35254
736	98431	35125
737	98563	34991
738	98697	34857
739	98843	34728
740	98976	34595
741	99124	34466
742	99248	34329
743	99403	34203
744	99548	34073
745	99687	33941
746	99822	33808
747	99953	33674
748	100086	33540
749	100214	33404
750	100356	33274
751	100476	33135
752	100617	33004
753	100743	32868
754	100885	32737
755	101037	32609
756	101172	32476
757	101310	32344
758	101446	32211
759	101583	32078
760	101734	31950
761	101859	31814
762	102011	31686
763	102133	31549
764	102256	31412
765	102396	31280
766	102541	31150
767	102670	31015
768	102798	30879
769	102924	30743
770	103046	30606
771	103189	30475
772	103336	30345
773	103487	30217
774	103625	30084
775	103767	29953
776	103906	29821
777	104050	29690
778	104175	29554
779	104298	29417
780	104439	29285
781	104570	29151
782	104719	29021
783	104870	28892
784	105000	28758
785	105140	28626
786	105267	28490
787	105407	28358
788	105545	28225
789	105671	28089
790	105813	27958
791	105956	27826
792	106084	27691
793	106213	27556
794	106344	27422
795	106498	27293
796	106631	27159
797	106779	27029
798	106919	26897
799	107059	26764
800	107184	26628
801	107308	26492
802	107451	26361
803	107594	26229
804	107710	26091
805	107858	25961
806	108005	25830
807	108138	25696
808	108277	25563
809	108418	25431
810	108542	25295
811	108687	25164
812	108809	25027
813	108952	24895
814	109054	24754
815	109202	24624
816	109349	24493
817	109473	24357
818	109608	24223
819	109747	24090
820	109878	23956
821	110014	23823
822	110143	23688
823	110259	23550
824	110386	23415
825	110509	23279
826	110639	23144
827	110764	23008
828	110912	22878
829	111046	22744
830	111188	22612
831	111330	22480
832	111461	22345
833	111599	22212
834	111727	22077
835	111853	21942
836	111988	21808
837	112110	21672
838	112233	21537
839	112376	21405
840	112526	21274
841	112650	21138
842	112793	21006
843	112924	20872
844	113054	20737
845	113193	20604
846	113318	20469
847	113468	20338
848	113598	20204
849	113745	20072
850	113885	19939
851	114011	19804
852	114145	19671
853	114261	19534
854	114408	19402
855	114549	19270
856	114684	19136
857	114824	19003
858	114963	18870
859	115082	18734
860	115224	18601
861	115375	18470
862	115501	18335
863	115636	18202
864	115782	18070
865	115923	17937
866	116064	17804
867	116213	17672
868	116350	17539
869	116492	17406
870	116633	17274
871	116776	17141
872	116909	17007
873	117054	16875
874	117179	16739
875	117323	16607
876	117464	16474
877	117596	16340
878	117736	16207
879	117870	16073
880	118018	15941
881	118140	15805
882	118284	15673
883	118418	15539
884	118554	15405
885	118700	15272
886	118824	15137
887	118968	15004
888	119107	14871
889	119245	14738
890	119379	14604
891	119529	14472
892	119667	14338
893	119793	14203
894	119923	14069
895	120060	13935
896	120178	13799
897	120332	13668
898	120477	13535
899	120621	13402
900	120748	13267
901	120882	13133
902	120996	12997
903	121124	12862
904	121259	12728
905	121395	12595
906	121529	12461
907	121670	12327
908	121776	12191
909	121907	12056
910	122013	11920
911	122157	11787
912	122303	11654
913	122444	11521
914	122568	11386
915	122714	11253
916	122859	11120
917	123000	10986
918	123149	10854
919	123292	10721
920	123429	10587
921	123560	10453
922	123698	10319
923	123830	10185
924	123973	10051
925	124121	9919
926	124275	9786
927	124420	9653
928	124570	9520
929	124705	9386
930	124861	9253
931	124974	9118
932	125115	8984
933	125255	8851
934	125389	8716
935	125519	8582
936	125649	8448
937	125786	8314
938	125915	8179
939	126063	8046
940	126198	7912
941	126331	7778
942	126473	7644
943	126612	7510
944	126757	7377
945	126893	7243
946	127029	7109
947	127174	6975
948	127308	6841
949	127432	6706
950	127544	6571
951	127676	6437
952	127821	6303
953	127940	6169
954	128071	6034
955	128193	5900
956	128325	5765
957	128451	5631
958	128589	5497
959	128732	5363
960	128857	5229
961	128990	5095
962	129117	4960
963	129269	4827
964	129408	4693
965	129548	4559
966	129673	4425
967	129784	4290
968	129901	4155
969	130013	4021
970	130156	3887
971	130264	3752
972	130409	3618
973	130545	3484
974	130687	3350
975	130840	3217
976	130990	3083
977	131135	2949
978	131264	2815
979	131404	2681
980	131548	2547
981	131675	2413
982	131816	2279
983	131959	2145
984	132107	2011
985	132244	1877
986	132358	1743
987	132500	1609
988	132624	1475
989	132758	1340
990	132905	1207
991	133037	1072
992	133187	938
993	133332	804
994	133469	670
995	133601	536
996	133741	402
997	133890	268
998	134009	134
999	134150	0
