model,accuracy_mean,accuracy_std,auc_roc_mean,auc_roc_std,f1_mean,f1_std,train_seconds_mean,train_seconds_std,infer_ms_per_sample_mean,infer_ms_per_sample_std,model_size_mb_mean,model_size_mb_std,best_valid_auc_mean,best_valid_auc_std
CatBoost,0.9635425854523155,0.0,0.636660563962233,0.0010760649867256268,0.00015353907569476432,0.00021713704320176495,114.06554485366603,26.514789713745056,0.014493555196576214,0.0017279462507482541,12.221757888793945,9.385111565314837,0.6352107949267668,0.00031118731936543876
XGBoost,0.9635509857782482,0.0,0.6348328284435025,0.0003349057173416844,0.0,0.0,9.120490492332465,2.1159972758725702,0.008365641190714162,0.0008035141739898077,4.281380653381348,4.62163944059093,0.6328485888781575,0.0026316232039127235
LightGBM,0.9635453855609598,3.959951620761681e-06,0.632359973555403,0.001593395774558858,0.0,0.0,22.705501917999452,11.880207318081492,0.017559081754772835,0.007866253876591909,2.5084218978881836,1.8024311439627936,0.6323611288683265,0.0015556377208756028
LogisticRegression,0.6200588582837013,0.0006987042597738488,0.6256243545450876,0.001915720135606942,0.09595647619819603,0.0006518392731588427,816.1166317943331,859.8618462736364,0.006751950747769246,0.00012186140203492795,0.011026382446289062,0.0,0.6236025053581605,0.00020891174049987848
RandomForest,0.6644573809463807,0.05308585823592807,0.6169407674372579,0.0015004451775786,0.09682176783625566,0.0017480596975537263,177.38527011800156,46.68683033372951,0.1311322299830015,0.0325074188132549,31.085118929545086,26.741593006092238,0.6197909378149048,0.0006045927430691488
TabNet,0.9635509857782482,0.0,0.6073739141304246,0.011147273859924128,0.0,0.0,783.774971181334,330.5518626579727,0.016480385621440666,0.0040535648686788545,0.6246744791666666,0.2489780500443635,0.6121036142121005,0.01003594020998344
FTTransformer,0.9635509857782482,0.0,0.5937174017575201,0.0017135835753984633,0.0,0.0,307.33204880333506,151.84493254857676,0.04027098637803178,0.01765368762655409,0.08802254994710286,0.04249989386239027,0.607066576098298,0.01552151161679181
