Model,Type,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,train_s,inf_ms
Ridge,Classical,0.7297351574313223,0.011008004832200765,0.5335935950279236,0.002060998387503736,0.6096275250116984,0.009275810906049098,0.12162041664123535,1.2825779828606344e-05
RandomForest,Classical,0.4953761068864673,0.015484996785293671,0.33069600477259886,0.0084239232652692,0.8200715444990524,0.008879341036077923,27.995959997177124,0.021742453716830076
XGBoost,Classical,0.44202900837121134,0.011637258691268498,0.29187896847724915,0.007079512772731595,0.8567745288213094,0.005254303671387701,46.20779673258463,0.0005852113398470619
LightGBM,Classical,0.4372441902272808,0.010389459377086963,0.29007698294981593,0.007676557988739852,0.8598681949437949,0.0043325690375220615,34.447411139806114,0.006711459899133489
CatBoost,Classical,0.44519426128013695,0.00850885170411233,0.2945341045920485,0.004323700891704435,0.8547279079058988,0.0033605560996059487,199.0297078291575,0.0007224560400004226
TabNet,Classical,0.6292242420350439,0.014639647151632677,0.4337267478307088,0.008677323229865162,0.7097670435905457,0.009780536258997887,2132.4716867605844,0.014004642649214397
FT-Transformer,DL,0.4813295290106055,0.013876620006850103,0.3085099260012309,0.008596854443724485,0.8301603396733602,0.007167041616965952,2823.96577723821,0.0015484732250834621
ResNet,DL,0.4936881800368738,0.010571960486902841,0.32309384147326153,0.0063352846694855,0.8213425079981486,0.0052831731329295905,668.7364553610483,0.00015844131316941528
