iter	RMSE
0	1.055024799
1	0.9773704668
2	0.9129563582
3	0.8514805429
4	0.800811235
5	0.7603277629
6	0.7265325982
7	0.6941659232
8	0.668970548
9	0.6489505844
10	0.6308242259
11	0.6123628743
12	0.6000208796
13	0.5861486215
14	0.5745679054
15	0.5653754794
16	0.5547172826
17	0.5472564978
18	0.5397560302
19	0.5326944924
20	0.5265354875
21	0.5197548753
22	0.5140445627
23	0.5100602383
24	0.5057921346
25	0.5015766412
26	0.497725466
27	0.4935913817
28	0.4903638967
29	0.4867299931
30	0.4840174993
31	0.4820059448
32	0.4793501896
33	0.4759773698
34	0.472553008
35	0.4701987262
36	0.4664417828
37	0.464364499
38	0.4613529495
39	0.4585644258
40	0.4551355535
41	0.4529144633
42	0.4508697831
43	0.4481490615
44	0.4465978976
45	0.4440382548
46	0.441621916
47	0.4401846996
48	0.438348285
49	0.4366284402
50	0.4353564681
51	0.4334309931
52	0.4308038778
53	0.4290970276
54	0.4274049249
55	0.4258363681
56	0.4241054125
57	0.4226849404
58	0.4210764237
59	0.4192757704
60	0.4179060372
61	0.4167300154
62	0.4155477715
63	0.4144456917
64	0.413125323
65	0.410992739
66	0.4097097707
67	0.4085994954
68	0.4074985318
69	0.405388261
70	0.4043829912
71	0.4029511533
72	0.4019477829
73	0.4005754073
74	0.3992444609
75	0.397976809
76	0.3968632784
77	0.3952475251
78	0.3941053496
79	0.3926806427
80	0.3909194854
81	0.3891011768
82	0.3881019764
83	0.3869724996
84	0.385747263
85	0.3844178895
86	0.3830821275
87	0.3819526842
88	0.380452577
89	0.3794004525
90	0.3781656446
91	0.3771897159
92	0.3759601009
93	0.3750343406
94	0.3735546611
95	0.3727722102
96	0.3719179788
97	0.3712721393
98	0.3701333031
99	0.3694830368
100	0.3680704666
101	0.3672325832
102	0.3661258212
103	0.364953736
104	0.3638821404
105	0.3629134725
106	0.3614483833
107	0.3598766864
108	0.3587127608
109	0.3578991166
110	0.3568798394
111	0.3556936512
112	0.3546384495
113	0.3536338016
114	0.3523746351
115	0.3510037078
116	0.3499646861
117	0.3493670853
118	0.3482654476
119	0.347371001
120	0.3464621255
121	0.3452070816
122	0.3442922218
123	0.3431457269
124	0.3422904163
125	0.3413906518
126	0.3405233635
127	0.339357296
128	0.338788687
129	0.337860328
130	0.3369507232
131	0.3363237129
132	0.3357225446
133	0.3346023946
134	0.3337813774
135	0.3328904899
136	0.3319265562
137	0.331076054
138	0.3304177008
139	0.3297029828
140	0.329101716
141	0.3283844039
142	0.3274726791
143	0.3269593035
144	0.326153319
145	0.3254670952
146	0.3248455478
147	0.3239084644
148	0.3230303836
149	0.3220008021
150	0.3215586138
151	0.3208658813
152	0.3200684356
153	0.3192643979
154	0.3186016393
155	0.31815231
156	0.3177764273
157	0.3169874107
158	0.3161140061
159	0.3151988744
160	0.3141479726
161	0.3133281921
162	0.3124358829
163	0.3115952121
164	0.3108441151
165	0.3099573753
166	0.3089123028
167	0.308116599
168	0.3073964134
169	0.3066203888
170	0.3058740105
171	0.3048694714
172	0.3042102813
173	0.3035070037
174	0.3029976076
175	0.3025844143
176	0.3021201708
177	0.3011414406
178	0.3002297053
179	0.2995647477
180	0.2988776162
181	0.2983163401
182	0.2977929349
183	0.2968587136
184	0.2963354114
185	0.2957037997
186	0.2952721713
187	0.2945676485
188	0.2940448616
189	0.2933065418
190	0.292815791
191	0.2923961317
192	0.2920396349
193	0.2912228102
194	0.2907499352
195	0.2897138989
196	0.2891252376
197	0.2885144842
198	0.2880987895
199	0.2874995529
200	0.2868840329
201	0.2862782079
202	0.2855509349
203	0.2850232383
204	0.2843503571
205	0.2837777941
206	0.2832042388
207	0.282745974
208	0.2822834821
209	0.2819128251
210	0.2813451203
211	0.2808339856
212	0.280042476
213	0.2795883453
214	0.2791144588
215	0.2786335491
216	0.278117369
217	0.2775409862
218	0.2770986481
219	0.2760702054
220	0.2756500926
221	0.2752370474
222	0.2748288422
223	0.2744287042
224	0.2738241926
225	0.2732553658
226	0.2726511449
227	0.2720101799
228	0.2711506885
229	0.2705083363
230	0.2696801362
231	0.2691883408
232	0.2683658282
233	0.2680581659
234	0.2674667583
235	0.2666626028
236	0.2662858051
237	0.2657641133
238	0.2648643158
239	0.264462864
240	0.2639322099
241	0.2633370292
242	0.262695608
243	0.2620428179
244	0.26152135
245	0.2608364111
246	0.2603908887
247	0.260061749
248	0.2593946264
249	0.2588196321
250	0.2584553039
251	0.2579885438
252	0.2572473903
253	0.2566674417
254	0.2561330387
255	0.2557525794
256	0.2552671795
257	0.2548585778
258	0.2542940457
259	0.2539652717
260	0.2535038731
261	0.2527923676
262	0.2521629312
263	0.2517062862
264	0.2514611456
265	0.2507856479
266	0.250267743
267	0.2498483518
268	0.2494379473
269	0.2490027595
270	0.2486383582
271	0.248218686
272	0.2478431893
273	0.2474547448
274	0.2470050292
275	0.2464565043
276	0.2461126349
277	0.2457298786
278	0.2453804718
279	0.2449719676
280	0.244606508
281	0.2442787985
282	0.243929768
283	0.2435654157
284	0.2432666142
285	0.2428404291
286	0.2423308853
287	0.2418484736
288	0.2413585429
289	0.2409879615
290	0.2404544065
291	0.2400526099
292	0.2398010026
293	0.2391750352
294	0.2388422052
295	0.2384349841
296	0.2380587131
297	0.2373844421
298	0.2369750175
299	0.2365552277
300	0.2361164385
301	0.2354139329
302	0.2348983822
303	0.2346229208
304	0.2343017779
305	0.233792418
306	0.2332851255
307	0.2328297594
308	0.2325092664
309	0.2321082932
310	0.2318646876
