iter	RMSE
311	0.2314127666
312	0.2311549
313	0.230605904
314	0.2301583959
315	0.2297145003
316	0.2292750118
317	0.2289896759
318	0.2285346145
319	0.2281105811
320	0.2276142165
321	0.2272584815
322	0.2268054988
323	0.2265073914
324	0.2261934433
325	0.2258757968
326	0.2255405278
327	0.2250577447
328	0.2246417931
329	0.2241407593
330	0.2237558696
331	0.2235031826
332	0.2231664803
333	0.2227656266
334	0.222295962
335	0.2219598932
336	0.2216683318
337	0.2211997465
338	0.2206646004
339	0.2203595388
340	0.2200451401
341	0.2197686995
342	0.2194000308
343	0.2190929497
344	0.2186392908
345	0.2182757594
346	0.2178221408
347	0.217484065
348	0.2169934079
349	0.2166655493
350	0.2163336513
351	0.2158992605
352	0.2153146999
353	0.2147790031
354	0.2142339726
355	0.2138767912
356	0.2136013894
357	0.2132090898
358	0.2128501423
359	0.212404625
360	0.2120488248
361	0.2117463051
362	0.2113448372
363	0.2109180361
364	0.2105674012
365	0.2101941068
366	0.2098356741
367	0.2095070828
368	0.2091876471
369	0.2087581945
370	0.2085596437
371	0.2083143832
372	0.2079189823
373	0.2077158686
374	0.2074940892
375	0.2071807799
376	0.2067534282
377	0.2064909622
378	0.2060491682
379	0.2057361499
380	0.205492628
381	0.2051732478
382	0.2049136524
383	0.2044775977
384	0.2042749708
385	0.203942483
386	0.203654446
387	0.2034044946
388	0.2031577533
389	0.2028165875
390	0.2023176672
391	0.2019586167
392	0.2016316344
393	0.2013755684
394	0.2011042275
395	0.20070318
396	0.2003574226
397	0.1999755623
398	0.1995763399
399	0.1993412094
400	0.1990741143
401	0.1988341885
402	0.1985416141
403	0.1982001116
404	0.1978253481
405	0.1974064676
406	0.1971321635
407	0.1967925854
408	0.1964993163
409	0.1961769456
410	0.1958219444
411	0.1955974446
412	0.1952880844
413	0.1949811719
414	0.1946956038
415	0.1942876759
416	0.1939440449
417	0.193630236
418	0.1933559148
419	0.1929479644
